timestamp_unix,datetime_utc,increases_25_march_2026_yes
1765929608,2025-12-17T00:00:08+00:00,0.0095
1765929632,2025-12-17T00:00:32+00:00,0.0095
1766016021,2025-12-18T00:00:21+00:00,0.0085
1766102412,2025-12-19T00:00:12+00:00,0.0105
1766188811,2025-12-20T00:00:11+00:00,0.0085
1766275211,2025-12-21T00:00:11+00:00,0.0085
1766361611,2025-12-22T00:00:11+00:00,0.01
1766448012,2025-12-23T00:00:12+00:00,0.012
1766534412,2025-12-24T00:00:12+00:00,0.0105
1766620822,2025-12-25T00:00:22+00:00,0.012
1766707210,2025-12-26T00:00:10+00:00,0.013
1766793613,2025-12-27T00:00:13+00:00,0.014
1766880013,2025-12-28T00:00:13+00:00,0.0115
1766966429,2025-12-29T00:00:29+00:00,0.0105
1767052816,2025-12-30T00:00:16+00:00,0.013
1767139212,2025-12-31T00:00:12+00:00,0.0115
1767225613,2026-01-01T00:00:13+00:00,0.0105
1767312012,2026-01-02T00:00:12+00:00,0.0105
1767398411,2026-01-03T00:00:11+00:00,0.012
1767484812,2026-01-04T00:00:12+00:00,0.012
1767571214,2026-01-05T00:00:14+00:00,0.0105
1767657616,2026-01-06T00:00:16+00:00,0.0115
1767744014,2026-01-07T00:00:14+00:00,0.0155
1767830429,2026-01-08T00:00:29+00:00,0.0135
1767916814,2026-01-09T00:00:14+00:00,0.014
1768003215,2026-01-10T00:00:15+00:00,0.0095
1768089613,2026-01-11T00:00:13+00:00,0.0095
1768176015,2026-01-12T00:00:15+00:00,0.0095
1768262415,2026-01-13T00:00:15+00:00,0.0095
1768348815,2026-01-14T00:00:15+00:00,0.0095
1768435216,2026-01-15T00:00:16+00:00,0.0095
1768521619,2026-01-16T00:00:19+00:00,0.011
1768608016,2026-01-17T00:00:16+00:00,0.0125
1768694421,2026-01-18T00:00:21+00:00,0.0155
1768780814,2026-01-19T00:00:14+00:00,0.0155
1768867215,2026-01-20T00:00:15+00:00,0.0155
1768953616,2026-01-21T00:00:16+00:00,0.0135
1769040021,2026-01-22T00:00:21+00:00,0.0145
1769126432,2026-01-23T00:00:32+00:00,0.0125
1769212823,2026-01-24T00:00:23+00:00,0.0115
1769299234,2026-01-25T00:00:34+00:00,0.0115
1769385633,2026-01-26T00:00:33+00:00,0.0125
1769472028,2026-01-27T00:00:28+00:00,0.0125
1769558419,2026-01-28T00:00:19+00:00,0.0135
1769644833,2026-01-29T00:00:33+00:00,0.0105
1769731221,2026-01-30T00:00:21+00:00,0.0075
1769817621,2026-01-31T00:00:21+00:00,0.0075
1769904025,2026-02-01T00:00:25+00:00,0.0135
1769990420,2026-02-02T00:00:20+00:00,0.0155
1770076821,2026-02-03T00:00:21+00:00,0.0185
1770163232,2026-02-04T00:00:32+00:00,0.0195
1770249619,2026-02-05T00:00:19+00:00,0.0195
1770336023,2026-02-06T00:00:23+00:00,0.0115
1770422428,2026-02-07T00:00:28+00:00,0.0095
1770508826,2026-02-08T00:00:26+00:00,0.0095
1770595224,2026-02-09T00:00:24+00:00,0.0095
1770681625,2026-02-10T00:00:25+00:00,0.0095
1770768027,2026-02-11T00:00:27+00:00,0.0095
1770854437,2026-02-12T00:00:37+00:00,0.0065
1770940826,2026-02-13T00:00:26+00:00,0.0075
1771027229,2026-02-14T00:00:29+00:00,0.0065
1771113627,2026-02-15T00:00:27+00:00,0.0055
1771200038,2026-02-16T00:00:38+00:00,0.0055
1771286428,2026-02-17T00:00:28+00:00,0.0055
1771372830,2026-02-18T00:00:30+00:00,0.0055
1771459231,2026-02-19T00:00:31+00:00,0.0055
1771545630,2026-02-20T00:00:30+00:00,0.0065
1771632023,2026-02-21T00:00:23+00:00,0.0065
1771718423,2026-02-22T00:00:23+00:00,0.0055
1771804825,2026-02-23T00:00:25+00:00,0.0055
1771891225,2026-02-24T00:00:25+00:00,0.0065
1771977628,2026-02-25T00:00:28+00:00,0.0065
1772064027,2026-02-26T00:00:27+00:00,0.0055
1772150430,2026-02-27T00:00:30+00:00,0.0045
1772236833,2026-02-28T00:00:33+00:00,0.0035
1772323238,2026-03-01T00:00:38+00:00,0.0035
1772409643,2026-03-02T00:00:43+00:00,0.0035
1772496033,2026-03-03T00:00:33+00:00,0.0045
1772582436,2026-03-04T00:00:36+00:00,0.0065
1772668832,2026-03-05T00:00:32+00:00,0.0045
1772755231,2026-03-06T00:00:31+00:00,0.0025
1772841636,2026-03-07T00:00:36+00:00,0.0025
1772928030,2026-03-08T00:00:30+00:00,0.0025
1773014426,2026-03-09T00:00:26+00:00,0.0025
1773100831,2026-03-10T00:00:31+00:00,0.0035
1773187234,2026-03-11T00:00:34+00:00,0.0025
1773273634,2026-03-12T00:00:34+00:00,0.0015
1773360050,2026-03-13T00:00:50+00:00,0.0015
1773446452,2026-03-14T00:00:52+00:00,0.0015
1773532856,2026-03-15T00:00:56+00:00,0.0015
1773705642,2026-03-17T00:00:42+00:00,0.0005
1773792044,2026-03-18T00:00:44+00:00,0.0005
