timestamp_unix,datetime_utc,no_change_march_2026_no
1766361621,2025-12-22T00:00:21+00:00,0.46
1766448023,2025-12-23T00:00:23+00:00,0.47
1766534423,2025-12-24T00:00:23+00:00,0.465
1766620832,2025-12-25T00:00:32+00:00,0.435
1766707216,2025-12-26T00:00:16+00:00,0.395
1766793621,2025-12-27T00:00:21+00:00,0.395
1766880021,2025-12-28T00:00:21+00:00,0.39
1766966439,2025-12-29T00:00:39+00:00,0.365
1767052825,2025-12-30T00:00:25+00:00,0.365
1767139223,2025-12-31T00:00:23+00:00,0.36
1767225623,2026-01-01T00:00:23+00:00,0.35
1767312021,2026-01-02T00:00:21+00:00,0.355
1767398419,2026-01-03T00:00:19+00:00,0.355
1767484821,2026-01-04T00:00:21+00:00,0.365
1767571225,2026-01-05T00:00:25+00:00,0.395
1767657627,2026-01-06T00:00:27+00:00,0.415
1767744024,2026-01-07T00:00:24+00:00,0.41
1767830440,2026-01-08T00:00:40+00:00,0.395
1767916825,2026-01-09T00:00:25+00:00,0.385
1768003226,2026-01-10T00:00:26+00:00,0.325
1768089622,2026-01-11T00:00:22+00:00,0.31
1768176025,2026-01-12T00:00:25+00:00,0.32
1768262426,2026-01-13T00:00:26+00:00,0.32
1768348828,2026-01-14T00:00:28+00:00,0.325
1768435229,2026-01-15T00:00:29+00:00,0.29
1768521633,2026-01-16T00:00:33+00:00,0.235
1768608029,2026-01-17T00:00:29+00:00,0.2
1768694448,2026-01-18T00:00:48+00:00,0.195
1768780824,2026-01-19T00:00:24+00:00,0.195
1768867227,2026-01-20T00:00:27+00:00,0.205
1768953628,2026-01-21T00:00:28+00:00,0.225
1769040043,2026-01-22T00:00:43+00:00,0.235
1769126446,2026-01-23T00:00:46+00:00,0.185
1769212845,2026-01-24T00:00:45+00:00,0.225
1769299249,2026-01-25T00:00:49+00:00,0.195
1769385648,2026-01-26T00:00:48+00:00,0.175
1769472041,2026-01-27T00:00:41+00:00,0.165
1769558430,2026-01-28T00:00:30+00:00,0.175
1769644845,2026-01-29T00:00:45+00:00,0.095
1769731235,2026-01-30T00:00:35+00:00,0.095
1769817635,2026-01-31T00:00:35+00:00,0.085
1769904043,2026-02-01T00:00:43+00:00,0.115
1769990434,2026-02-02T00:00:34+00:00,0.105
1770076839,2026-02-03T00:00:39+00:00,0.105
1770163247,2026-02-04T00:00:47+00:00,0.095
1770249632,2026-02-05T00:00:32+00:00,0.095
1770336042,2026-02-06T00:00:42+00:00,0.195
1770422452,2026-02-07T00:00:52+00:00,0.135
1770508846,2026-02-08T00:00:46+00:00,0.155
1770595245,2026-02-09T00:00:45+00:00,0.155
1770681648,2026-02-10T00:00:48+00:00,0.165
1770768058,2026-02-11T00:00:58+00:00,0.175
1770854456,2026-02-12T00:00:56+00:00,0.085
1770940847,2026-02-13T00:00:47+00:00,0.075
1771027253,2026-02-14T00:00:53+00:00,0.075
1771113655,2026-02-15T00:00:55+00:00,0.075
1771286457,2026-02-17T00:00:57+00:00,0.075
1771545658,2026-02-20T00:00:58+00:00,0.074
1771632038,2026-02-21T00:00:38+00:00,0.0605
1771718439,2026-02-22T00:00:39+00:00,0.045
1771804847,2026-02-23T00:00:47+00:00,0.0425
1771891247,2026-02-24T00:00:47+00:00,0.0425
1771977655,2026-02-25T00:00:55+00:00,0.038
1772064048,2026-02-26T00:00:48+00:00,0.0305
1772150454,2026-02-27T00:00:54+00:00,0.0265
1772236850,2026-02-28T00:00:50+00:00,0.0265
1772496058,2026-03-03T00:00:58+00:00,0.0335
1772582458,2026-03-04T00:00:58+00:00,0.0285
1772668855,2026-03-05T00:00:55+00:00,0.0155
1772755253,2026-03-06T00:00:53+00:00,0.0105
1772841657,2026-03-07T00:00:57+00:00,0.0165
1772928046,2026-03-08T00:00:46+00:00,0.0165
1773014443,2026-03-09T00:00:43+00:00,0.0165
1773100852,2026-03-10T00:00:52+00:00,0.0135
1773187256,2026-03-11T00:00:56+00:00,0.0115
1773273658,2026-03-12T00:00:58+00:00,0.0075
1773446446,2026-03-14T00:00:46+00:00,0.0055
1773532849,2026-03-15T00:00:49+00:00,0.0035
1773619259,2026-03-16T00:00:59+00:00,0.0045
1773705638,2026-03-17T00:00:38+00:00,0.0055
1773792040,2026-03-18T00:00:40+00:00,0.0055
