datetime_utc,no_change_march_2026_no,no_change_march_2026_yes,decreases_25_march_2026_no,decreases_25_march_2026_yes,decreases_50_march_2026_no,decreases_50_march_2026_yes,increases_25_march_2026_no,increases_25_march_2026_yes
2025-12-06,,,,,0.935,,,
2025-12-06,,0.535,,,,,,
2025-12-06,0.465,,,,,,,
2025-12-07,,,,,,,0.988,
2025-12-07,,,0.57,,,,,0.012
2025-12-07,,,,0.43,,0.044,,
2025-12-07,,,,,0.956,,,
2025-12-07,,0.515,,,,,,
2025-12-07,0.485,,,,,,,
2025-12-08,,,,,,,0.982,
2025-12-08,,,0.595,,,,,
2025-12-08,,,,0.405,,0.0445,,0.018
2025-12-08,,,,,0.9555,,,
2025-12-08,,0.545,,,,,,
2025-12-08,0.455,,,,,,,
2025-12-09,,,,,,,0.978,
2025-12-09,,,0.585,0.415,,0.0535,,0.022
2025-12-09,,,,,0.9465,,,
2025-12-09,,0.525,,,,,,
2025-12-09,0.475,,,,,,,
2025-12-10,,,,,,,0.9785,
2025-12-10,,,0.615,,,,,
2025-12-10,,,,0.385,0.933,0.067,,0.0215
2025-12-10,,0.55,,,,,,
2025-12-10,0.45,,,,,,,
2025-12-11,,,,,,,0.985,
2025-12-11,,,0.645,0.355,,0.0245,,0.015
2025-12-11,,,,,0.9755,,,
2025-12-11,,0.605,,,,,,
2025-12-11,0.395,,,,,,,
2025-12-12,,,,,,,0.986,
2025-12-12,,,0.655,,,,,
2025-12-12,,,,0.345,,0.0215,,0.014
2025-12-12,,,,,0.9785,,,
2025-12-12,,0.625,,,,,,
2025-12-12,0.375,,,,,,,
2025-12-13,,,,,,,0.988,
2025-12-13,,,0.64,,,,,
2025-12-13,,,,0.36,,0.042,,0.012
2025-12-13,,,,,0.958,,,
2025-12-13,,0.59,,,,,,
2025-12-13,0.41,,,,,,,
2025-12-14,,,,,,,0.989,
2025-12-14,,,0.66,,,,,0.011
2025-12-14,,,,0.34,,0.037,,
2025-12-14,,,,,0.963,,,
2025-12-14,,0.62,,,,,,
2025-12-14,0.38,,,,,,,
2025-12-15,,,,,,,0.9855,
2025-12-15,,,0.645,,,,,
2025-12-15,,,,0.355,,0.0265,,0.0145
2025-12-15,,,,,0.9735,,,
2025-12-15,,0.615,,,,,,
2025-12-15,0.385,,,,,,,
2025-12-16,,,,,,,0.987,
2025-12-16,,,0.64,,,,,
2025-12-16,,,,0.36,,0.0275,,0.013
2025-12-16,,,,,0.9725,,,
2025-12-16,,0.605,,,,,,
2025-12-16,0.395,,,,,,,
2025-12-17,,,,,,,0.9905,
2025-12-17,,,0.595,,,,,
2025-12-17,,,,0.405,,0.025,,0.0095
2025-12-17,,,,,0.975,,,
2025-12-17,,0.535,,,,,,
2025-12-17,0.465,,,,,,,
2025-12-17,,,,,,,0.9905,
2025-12-17,,,0.595,0.405,,0.025,,0.0095
2025-12-17,,,,,0.975,,,
2025-12-17,,0.535,,,,,,
2025-12-17,0.465,,,,,,,
2025-12-18,,,,,,,0.9915,
2025-12-18,,,0.59,,,,,
2025-12-18,,,,0.41,0.97,0.03,,0.0085
2025-12-18,,0.56,,,,,,
2025-12-18,0.44,,,,,,,
2025-12-19,,,,,,,0.9895,
2025-12-19,,,0.505,,,,,
2025-12-19,,,,0.495,0.969,0.031,,0.0105
2025-12-19,,0.455,,,,,,
2025-12-19,0.545,,,,,,,
2025-12-20,,,,,,,0.9915,
2025-12-20,,,0.535,,,,,
2025-12-20,,,,0.465,,0.0175,,0.0085
2025-12-20,,,,,0.9825,,,
2025-12-20,,0.51,,,,,,
2025-12-20,0.49,,,,,,,
2025-12-21,,,,,,,0.9915,
2025-12-21,,,0.545,0.455,,0.013,,0.0085
2025-12-21,,,,,0.987,,,
2025-12-21,,0.525,,,,,,
2025-12-21,0.475,,,,,,,
2025-12-22,,,,,,,0.99,
2025-12-22,,,0.565,,,,,
2025-12-22,,,,0.435,,0.0145,,0.01
2025-12-22,,,,,0.9855,,,
2025-12-22,,0.54,,,,,,
2025-12-22,0.46,,,,,,,
2025-12-23,,,,,,,0.988,
2025-12-23,,,0.555,,,0.0165,,0.012
2025-12-23,,,,0.445,0.9835,,,
2025-12-23,,0.53,,,,,,
2025-12-23,0.47,,,,,,,
2025-12-24,,,,,,,0.9895,
2025-12-24,,,0.565,,,,,
2025-12-24,,,,0.435,,0.024,,0.0105
2025-12-24,,,,,0.976,,,
2025-12-24,,0.535,,,,,,
2025-12-24,0.465,,,,,,,
2025-12-25,,,,,,,0.988,
2025-12-25,,,0.615,,,,,
2025-12-25,,,,0.385,,0.0255,,0.012
2025-12-25,,,,,0.9745,,,
2025-12-25,,0.565,,,,,,
2025-12-25,0.435,,,,,,,
2025-12-26,,,,,,,0.987,
2025-12-26,,,0.645,,,0.024,,
2025-12-26,,,,0.355,0.976,,,0.013
2025-12-26,,0.605,,,,,,
2025-12-26,0.395,,,,,,,
2025-12-27,,,,,,,0.986,
2025-12-27,,,0.65,,,,,
2025-12-27,,,,0.35,0.9745,0.0255,,0.014
2025-12-27,,0.605,,,,,,
2025-12-27,0.395,,,,,,,
2025-12-28,,,,,,,0.9885,
2025-12-28,,,0.655,,,,,
2025-12-28,,,,0.345,,0.0235,,0.0115
2025-12-28,,,,,0.9765,,,
2025-12-28,,0.61,,,,,,
2025-12-28,0.39,,,,,,,
2025-12-29,,,,,,,0.9895,
2025-12-29,,,0.67,,,,,
2025-12-29,,,,0.33,,0.027,,0.0105
2025-12-29,,,,,0.973,,,
2025-12-29,,0.635,,,,,,
2025-12-29,0.365,,,,,,,
2025-12-30,,,,,,,0.987,
2025-12-30,,,0.665,,,0.0205,,
2025-12-30,,,,0.335,,,,0.013
2025-12-30,,,,,0.9795,,,
2025-12-30,,0.635,,,,,,
2025-12-30,0.365,,,,,,,
2025-12-31,,,,,,,0.9885,
2025-12-31,,,0.66,,,0.0185,,0.0115
2025-12-31,,,,0.34,0.9815,,,
2025-12-31,,0.64,,,,,,
2025-12-31,0.36,,,,,,,
2026-01-01,,,,,,,0.9895,
2026-01-01,,,0.67,,,,,
2026-01-01,,,,0.33,0.9815,0.0185,,0.0105
2026-01-01,,0.65,,,,,,
2026-01-01,0.35,,,,,,,
2026-01-02,,,,,,,0.9895,
2026-01-02,,,0.665,,,0.0165,,0.0105
2026-01-02,,,,0.335,0.9835,,,
2026-01-02,,0.645,,,,,,
2026-01-02,0.355,,,,,,,
2026-01-03,,,,,,,0.988,
2026-01-03,,,0.675,,,0.0165,,0.012
2026-01-03,,,,0.325,0.9835,,,
2026-01-03,,0.645,,,,,,
2026-01-03,0.355,,,,,,,
2026-01-04,,,,,,,0.988,
2026-01-04,,,0.66,,,0.0175,,0.012
2026-01-04,,,,0.34,,,,
2026-01-04,,,,,0.9825,,,
2026-01-04,,0.635,,,,,,
2026-01-04,0.365,,,,,,,
2026-01-05,,,,,,,0.9895,
2026-01-05,,,0.635,,,,,
2026-01-05,,,,,,0.0165,,0.0105
2026-01-05,,,,0.365,0.9835,,,
2026-01-05,,0.605,,,,,,
2026-01-05,0.395,,,,,,,
2026-01-06,,,,,,,0.9885,
2026-01-06,,,0.615,0.385,,0.0175,,0.0115
2026-01-06,,,,,0.9825,,,
2026-01-06,,0.585,,,,,,
2026-01-06,0.415,,,,,,,
2026-01-07,,,,,,,0.9845,
2026-01-07,,,0.615,,,,,
2026-01-07,,,,0.385,0.9825,0.0175,,0.0155
2026-01-07,,0.59,,,,,,
2026-01-07,0.41,,,,,,,
2026-01-08,,,,,,,0.9865,
2026-01-08,,,0.625,,,,,
2026-01-08,,,,0.375,,0.0165,,0.0135
2026-01-08,,,,,0.9835,,,
2026-01-08,,0.605,,,,,,
2026-01-08,0.395,,,,,,,
2026-01-09,,,,,,,0.986,
2026-01-09,,,0.64,,,,,
2026-01-09,,,,0.36,,0.0165,,0.014
2026-01-09,,,,,0.9835,,,
2026-01-09,,0.615,,,,,,
2026-01-09,0.385,,,,,,,
2026-01-10,,,,,,,0.9905,
2026-01-10,,,0.695,,,,,
2026-01-10,,,,0.305,,0.0145,,0.0095
2026-01-10,,,,,0.9855,,,
2026-01-10,,0.675,,,,,,
2026-01-10,0.325,,,,,,,
2026-01-11,,,,,,,0.9905,
2026-01-11,,,0.715,0.285,,0.0145,,0.0095
2026-01-11,,,,,0.9855,,,
2026-01-11,,0.69,,,,,,
2026-01-11,0.31,,,,,,,
2026-01-12,,,,,,,0.9905,
2026-01-12,,,0.715,0.285,,0.0145,,0.0095
2026-01-12,,,,,0.9855,,,
2026-01-12,,0.68,,,,,,
2026-01-12,0.32,,,,,,,
2026-01-13,,,,,,,0.9905,
2026-01-13,,,0.715,,,,,
2026-01-13,,,,,,0.015,,0.0095
2026-01-13,,,,0.285,0.985,,,
2026-01-13,,0.68,,,,,,
2026-01-13,0.32,,,,,,,
2026-01-14,,,,,,,0.9905,
2026-01-14,,,0.695,,,,,
2026-01-14,,,,0.305,,0.017,,0.0095
2026-01-14,,,,,0.983,,,
2026-01-14,,0.675,,,,,,
2026-01-14,0.325,,,,,,,
2026-01-15,,,,,,,0.9905,
2026-01-15,,,0.735,0.265,,0.0155,,0.0095
2026-01-15,,,,,0.9845,,,
2026-01-15,,0.71,,,,,,
2026-01-15,0.29,,,,,,,
2026-01-16,,,,,,,0.989,
2026-01-16,,,0.795,,,,,
2026-01-16,,,,0.205,,0.0165,,0.011
2026-01-16,,,,,0.9835,,,
2026-01-16,,0.765,,,,,,
2026-01-16,0.235,,,,,,,
2026-01-17,,,,,,,0.9875,
2026-01-17,,,0.825,,,,,
2026-01-17,,,,,,0.0145,,0.0125
2026-01-17,,,,0.175,,,,
2026-01-17,,,,,0.9855,,,
2026-01-17,,0.8,,,,,,
2026-01-17,0.2,,,,,,,
2026-01-18,,,,,,,0.9845,
2026-01-18,,,0.835,,,,,
2026-01-18,,,,,,0.0165,,0.0155
2026-01-18,,,,0.165,,,,
2026-01-18,,,,,0.9835,,,
2026-01-18,,0.805,,,,,,
2026-01-18,0.195,,,,,,,
2026-01-19,,,,,,,0.9845,
2026-01-19,,,0.825,0.175,,0.015,,0.0155
2026-01-19,,,,,0.985,,,
2026-01-19,,0.805,,,,,,
2026-01-19,0.195,,,,,,,
2026-01-20,,,,,,,0.9845,
2026-01-20,,,0.82,,,0.0165,,0.0155
2026-01-20,,,,0.18,,,,
2026-01-20,,,,,0.9835,,,
2026-01-20,,0.795,,,,,,
2026-01-20,0.205,,,,,,,
2026-01-21,,,,,,,0.9865,
2026-01-21,,,0.805,0.195,,0.0155,,0.0135
2026-01-21,,,,,0.9845,,,
2026-01-21,,0.775,,,,,,
2026-01-21,0.225,,,,,,,
2026-01-22,,,,,,,0.9855,
2026-01-22,,,0.795,,,,,
2026-01-22,,,,,,0.01,,0.0145
2026-01-22,,,,0.205,,,,
2026-01-22,,,,,0.99,,,
2026-01-22,,0.765,,,,,,
2026-01-22,0.235,,,,,,,
2026-01-23,,,,,,,0.9875,
2026-01-23,,,0.845,,,,,
2026-01-23,,,,0.155,,0.0105,,0.0125
2026-01-23,,,,,0.9895,,,
2026-01-23,,0.815,,,,,,
2026-01-23,0.185,,,,,,,
2026-01-24,,,,,,,0.9885,
2026-01-24,,,0.795,,,,,
2026-01-24,,,,,,0.016,,0.0115
2026-01-24,,,,0.205,,,,
2026-01-24,,,,,0.984,,,
2026-01-24,,0.775,,,,,,
2026-01-24,0.225,,,,,,,
2026-01-25,,,,,,,0.9885,
2026-01-25,,,0.825,0.175,,0.0115,,0.0115
2026-01-25,,,,,0.9885,,,
2026-01-25,,0.805,,,,,,
2026-01-25,0.195,,,,,,,
2026-01-26,,,,,,,0.9875,
2026-01-26,,,0.845,,,,,
2026-01-26,,,,0.155,,0.0125,,0.0125
2026-01-26,,,,,0.9875,,,
2026-01-26,,0.825,,,,,,
2026-01-26,0.175,,,,,,,
2026-01-27,,,,,,,0.9875,
2026-01-27,,,0.855,,,0.012,,0.0125
2026-01-27,,,,0.145,,,,
2026-01-27,,,,,0.988,,,
2026-01-27,,0.835,,,,,,
2026-01-27,0.165,,,,,,,
2026-01-28,,,,,,,0.9865,
2026-01-28,,,0.855,,,,,
2026-01-28,,,,0.145,,0.013,,0.0135
2026-01-28,,,,,0.987,,,
2026-01-28,,0.825,,,,,,
2026-01-28,0.175,,,,,,,
2026-01-29,,,,,,,0.9895,
2026-01-29,,,0.925,0.075,,0.0135,,0.0105
2026-01-29,,,,,0.9865,,,
2026-01-29,,0.905,,,,,,
2026-01-29,0.095,,,,,,,
2026-01-30,,,,,,,0.9925,
2026-01-30,,,0.925,0.075,,0.0125,,0.0075
2026-01-30,,,,,0.9875,,,
2026-01-30,,0.905,,,,,,
2026-01-30,0.095,,,,,,,
2026-01-31,,,,,,,0.9925,
2026-01-31,,,0.935,,,,,
2026-01-31,,,,0.065,,0.0175,,0.0075
2026-01-31,,,,,0.9825,,,
2026-01-31,,0.915,,,,,,
2026-01-31,0.085,,,,,,,
2026-02-01,,,,,,,0.9865,
2026-02-01,,,0.925,,,,,
2026-02-01,,,,0.075,,0.0235,,0.0135
2026-02-01,,,,,0.9765,,,
2026-02-01,,0.885,,,,,,
2026-02-01,0.115,,,,,,,
2026-02-02,,,,,,,0.9845,
2026-02-02,,,0.925,,,,,
2026-02-02,,,,,,0.0145,,0.0155
2026-02-02,,,,0.075,,,,
2026-02-02,,,,,0.9855,,,
2026-02-02,,0.895,,,,,,
2026-02-02,0.105,,,,,,,
2026-02-03,,,,,,,0.9815,
2026-02-03,,,0.925,,,,,
2026-02-03,,,,,,,,0.0185
2026-02-03,,,,0.075,,0.0125,,
2026-02-03,,,,,0.9875,,,
2026-02-03,,0.895,,,,,,
2026-02-03,0.105,,,,,,,
2026-02-04,,,,,,,0.9805,
2026-02-04,,,0.935,,,,,
2026-02-04,,,,,,0.0095,,0.0195
2026-02-04,,,,0.065,,,,
2026-02-04,,,,,0.9905,,,
2026-02-04,,0.905,,,,,,
2026-02-04,0.095,,,,,,,
2026-02-05,,,,,,,0.9805,
2026-02-05,,,0.925,,,0.0105,,0.0195
2026-02-05,,,,0.075,,,,
2026-02-05,,,,,0.9895,,,
2026-02-05,,0.905,,,,,,
2026-02-05,0.095,,,,,,,
2026-02-06,,,,,,,0.9885,
2026-02-06,,,0.825,,,0.0135,,0.0115
2026-02-06,,,,0.175,,,,
2026-02-06,,,,,0.9865,,,
2026-02-06,,0.805,,,,,,
2026-02-06,0.195,,,,,,,
2026-02-07,,,,,,,0.9905,
2026-02-07,,,0.885,,,,,
2026-02-07,,,,0.115,,0.0115,,0.0095
2026-02-07,,,,,0.9885,,,
2026-02-07,,0.865,,,,,,
2026-02-07,0.135,,,,,,,
2026-02-08,,,,,,,0.9905,
2026-02-08,,,0.855,,,,,
2026-02-08,,,,0.145,,0.0105,,0.0095
2026-02-08,,,,,0.9895,,,
2026-02-08,,0.845,,,,,,
2026-02-08,0.155,,,,,,,
2026-02-09,,,,,,,0.9905,
2026-02-09,,,0.865,,,,,
2026-02-09,,,,,,0.0105,,0.0095
2026-02-09,,,,0.135,,,,
2026-02-09,,,,,0.9895,,,
2026-02-09,,0.845,,,,,,
2026-02-09,0.155,,,,,,,
2026-02-10,,,,,,,0.9905,
2026-02-10,,,0.855,,,,,
2026-02-10,,,,0.145,,0.0095,,0.0095
2026-02-10,,,,,0.9905,,,
2026-02-10,,0.835,,,,,,
2026-02-10,0.165,,,,,,,
2026-02-11,,,,,,,0.9905,
2026-02-11,,,0.845,,,,,
2026-02-11,,,,0.155,,0.0105,,0.0095
2026-02-11,,,,,0.9895,,,
2026-02-11,,0.825,,,,,,
2026-02-11,0.175,,,,,,,
2026-02-12,,,,,,,0.9935,
2026-02-12,,,0.925,,,0.0065,,
2026-02-12,,,,0.075,,,,0.0065
2026-02-12,,,,,0.9935,,,
2026-02-12,,0.915,,,,,,
2026-02-12,0.085,,,,,,,
2026-02-13,,,,,,,0.9925,
2026-02-13,,,0.935,,,,,
2026-02-13,,,,0.065,,0.0065,,0.0075
2026-02-13,,,,,0.9935,,,
2026-02-13,,0.925,,,,,,
2026-02-13,0.075,,,,,,,
2026-02-14,,,,,,,0.9935,
2026-02-14,,,0.945,,,,,
2026-02-14,,,,,,0.0065,,0.0065
2026-02-14,,,,0.055,,,,
2026-02-14,,,,,0.9935,,,
2026-02-14,,0.925,,,,,,
2026-02-14,0.075,,,,,,,
2026-02-15,,,,,,,0.9945,
2026-02-15,,,0.935,,,,,
2026-02-15,,,,,,0.0105,,0.0055
2026-02-15,,,,0.065,,,,
2026-02-15,,,,,0.9895,,,
2026-02-15,,0.925,,,,,,
2026-02-15,0.075,,,,,,,
2026-02-16,,,,,,,0.9945,
2026-02-16,,,0.935,,,,,
2026-02-16,,,,,,0.0075,,0.0055
2026-02-16,,,,0.065,,,,
2026-02-16,,,,,0.9925,,,
2026-02-16,,0.925,,,,,,
2026-02-17,,,,,,,0.9945,
2026-02-17,,,0.935,,,,,
2026-02-17,,,,,,0.0065,,0.0055
2026-02-17,,,,0.065,,,,
2026-02-17,,,,,0.9935,,,
2026-02-17,,0.925,,,,,,
2026-02-17,0.075,,,,,,,
2026-02-18,,,,,,,0.9945,
2026-02-18,,,0.935,,,,,
2026-02-18,,,,,,0.0075,,0.0055
2026-02-18,,,,0.065,,,,
2026-02-18,,,,,0.9925,,,
2026-02-18,,0.925,,,,,,
2026-02-19,,,,,,,0.9945,
2026-02-19,,,0.945,,,,,
2026-02-19,,,,,,0.0075,,0.0055
2026-02-19,,,,0.055,,,,
2026-02-19,,,,,0.9925,,,
2026-02-19,,0.925,,,,,,
2026-02-20,,,,,,,0.9935,
2026-02-20,,,0.9455,,,,,
2026-02-20,,,,,,0.0075,,0.0065
2026-02-20,,,,0.0545,,,,
2026-02-20,,,,,0.9925,,,
2026-02-20,,0.926,,,,,,
2026-02-20,0.074,,,,,,,
2026-02-21,,,,,,,0.9935,
2026-02-21,,,0.9555,,,,,
2026-02-21,,,,0.0445,,0.0065,,0.0065
2026-02-21,,,,,0.9935,,,
2026-02-21,,0.9395,,,,,,
2026-02-21,0.0605,,,,,,,
2026-02-22,,,,,,,0.9945,
2026-02-22,,,0.967,,,,,
2026-02-22,,,,,,0.0075,,0.0055
2026-02-22,,,,0.033,,,,
2026-02-22,,,,,0.9925,,,
2026-02-22,,0.955,,,,,,
2026-02-22,0.045,,,,,,,
2026-02-23,,,,,,,0.9945,
2026-02-23,,,0.9705,,,,,0.0055
2026-02-23,,,,0.0295,,0.0075,,
2026-02-23,,,,,0.9925,,,
2026-02-23,,0.9575,,,,,,
2026-02-23,0.0425,,,,,,,
2026-02-24,,,,,,,0.9935,
2026-02-24,,,0.9735,,,,,0.0065
2026-02-24,,,,0.0265,,0.0075,,
2026-02-24,,,,,0.9925,,,
2026-02-24,,0.9575,,,,,,
2026-02-24,0.0425,,,,,,,
2026-02-25,,,,,,,0.9935,
2026-02-25,,,0.9785,,,,,
2026-02-25,,,,,,0.0065,,0.0065
2026-02-25,,,,0.0215,,,,
2026-02-25,,,,,0.9935,,,
2026-02-25,,0.962,,,,,,
2026-02-25,0.038,,,,,,,
2026-02-26,,,,,,,0.9945,
2026-02-26,,,0.9825,,,,,
2026-02-26,,,,0.0175,,0.0055,,0.0055
2026-02-26,,,,,0.9945,,,
2026-02-26,,0.9695,,,,,,
2026-02-26,0.0305,,,,,,,
