datetime_utc,increase_max_2_6_august_2025_no,increase_max_2_6_august_2025_yes,increase_2_7_august_2025_no,increase_2_7_august_2025_yes,increase_2_8_august_2025_no,increase_2_8_august_2025_yes,increase_2_9_august_2025_no,increase_2_9_august_2025_yes,increase_min_3_0_august_2025_no,increase_min_3_0_august_2025_yes
2025-08-30,,,,,,,0.595,,,
2025-08-30,,,,,,,,,0.795,
2025-08-31,,,,,,,0.595,,,
2025-08-31,,,,,,,,,0.795,
2025-08-31,,,,,,0.335,,,,
2025-08-31,,,0.969,,,,,,,
2025-08-31,0.963,,,,,,,,,
2025-08-31,,0.037,,,,,,,,
2025-08-31,,,,,0.665,,,0.405,,0.205
2025-08-31,,,,0.031,,,,,,
2025-09-01,,,,,,,0.6,,,
2025-09-01,,,,,,0.345,,,,
2025-09-01,,,,,,,,,0.8,
2025-09-01,,,,0.029,,,,,,
2025-09-01,,,,,,,,0.4,,
2025-09-01,,0.0385,,,,,,,,
2025-09-01,,,,,,,,,,0.2
2025-09-01,0.9615,,,,,,,,,
2025-09-01,,,0.971,,0.655,,,,,
2025-09-02,,,,,0.655,,,,,
2025-09-02,,0.024,,,,,0.57,,,
2025-09-02,,,,,,0.345,,,,
2025-09-02,0.976,,,0.02,,,,,,
2025-09-02,,,,,,,,0.43,0.8,
2025-09-02,,,,,,,,,,0.2
2025-09-02,,,0.98,,,,,,,
2025-09-03,,,,0.0265,,0.31,,,0.76,
2025-09-03,0.982,0.018,,,,,0.575,,,
2025-09-03,,,,,,,,,,0.24
2025-09-03,,,,,0.69,,,0.425,,
2025-09-03,,,0.9735,,,,,,,
2025-09-04,,,,,,,0.595,,0.78,0.22
2025-09-04,,,,0.03,,,,,,
2025-09-04,0.9835,,,,,,,,,
2025-09-04,,,,,,,,0.405,,
2025-09-04,,,,,,0.33,,,,
2025-09-04,,,,,0.67,,,,,
2025-09-04,,0.0165,,,,,,,,
2025-09-04,,,0.97,,,,,,,
2025-09-05,,,,,0.71,,,,,
2025-09-05,,,,,,,,0.43,,
2025-09-05,,0.02,,,,,,,,
2025-09-05,,,,,,,,,,0.25
2025-09-05,,,,,,0.29,,,,
2025-09-05,,,0.969,,,,,,0.75,
2025-09-05,0.98,,,0.031,,,0.57,,,
2025-09-06,,0.0125,,,,,,,,
2025-09-06,,,,,,0.325,,,,
2025-09-06,,,,,,,0.545,,,
2025-09-06,,,,,,,,,,0.2
2025-09-06,0.9875,,,,,,,,,
2025-09-06,,,,0.0165,,,,0.455,,
2025-09-06,,,0.9835,,,,,,0.8,
2025-09-06,,,,,0.675,,,,,
2025-09-07,,,,,,,,0.455,0.815,
2025-09-07,,,,,,,0.545,,,0.185
2025-09-07,,0.0175,,,,,,,,
2025-09-07,,,,0.0295,,,,,,
2025-09-07,,,,,0.675,0.325,,,,
2025-09-07,,,0.9705,,,,,,,
2025-09-07,0.9825,,,,,,,,,
2025-09-08,,,,,,,,,,0.17
2025-09-08,,0.02,,,,,,,,
2025-09-08,,,0.955,0.045,,,,0.435,,
2025-09-08,,,,,,,,,0.83,
2025-09-08,0.98,,,,,,0.565,,,
2025-09-08,,,,,,0.34,,,,
2025-09-08,,,,,0.66,,,,,
2025-09-09,,,,,0.695,,,,,
2025-09-09,,,,,,0.305,,,,0.225
2025-09-09,,,,0.035,,,,,,
2025-09-09,,,,,,,0.565,,,
2025-09-09,,0.0155,,,,,,,,
2025-09-09,,,0.965,,,,,0.435,,
2025-09-09,0.9845,,,,,,,,0.775,
2025-09-10,,,,,,0.305,0.525,,,
2025-09-10,,,0.972,,,,,,,
2025-09-10,,,,,,,,,0.805,
2025-09-10,0.989,,,,,,,,,
2025-09-10,,,,0.028,,,,,,0.195
2025-09-10,,0.011,,,,,,,,
2025-09-10,,,,,0.695,,,0.475,,
2025-09-11,,,,0.045,,,,,,
2025-09-11,,,,,,,,0.4,,
2025-09-11,,,,,,,,,,0.17
2025-09-11,,,,,0.605,,,,,
2025-09-11,0.989,0.011,,,,0.395,,,0.83,
2025-09-11,,,0.955,,,,0.6,,,
