timestamp_unix,datetime_utc,no_change_december_2025_yes
1758931207,2025-09-27T00:00:07+00:00,0.285
1759017605,2025-09-28T00:00:05+00:00,0.275
1759104009,2025-09-29T00:00:09+00:00,0.275
1759190407,2025-09-30T00:00:07+00:00,0.275
1759276806,2025-10-01T00:00:06+00:00,0.25
1759363209,2025-10-02T00:00:09+00:00,0.235
1759449602,2025-10-03T00:00:02+00:00,0.205
1759536007,2025-10-04T00:00:07+00:00,0.21
1759622407,2025-10-05T00:00:07+00:00,0.21
1759708802,2025-10-06T00:00:02+00:00,0.21
1759795211,2025-10-07T00:00:11+00:00,0.205
1759881613,2025-10-08T00:00:13+00:00,0.22
1759968011,2025-10-09T00:00:11+00:00,0.22
1760054414,2025-10-10T00:00:14+00:00,0.22
1760140803,2025-10-11T00:00:03+00:00,0.21
1760227204,2025-10-12T00:00:04+00:00,0.205
1760313618,2025-10-13T00:00:18+00:00,0.205
1760400018,2025-10-14T00:00:18+00:00,0.195
1760486413,2025-10-15T00:00:13+00:00,0.17
1760572815,2025-10-16T00:00:15+00:00,0.135
1760659204,2025-10-17T00:00:04+00:00,0.105
1760745614,2025-10-18T00:00:14+00:00,0.09
1760832014,2025-10-19T00:00:14+00:00,0.085
1760918418,2025-10-20T00:00:18+00:00,0.085
1761004808,2025-10-21T00:00:08+00:00,0.1
1761091223,2025-10-22T00:00:23+00:00,0.09
1761177612,2025-10-23T00:00:12+00:00,0.095
1761264019,2025-10-24T00:00:19+00:00,0.12
1761350418,2025-10-25T00:00:18+00:00,0.105
1761436821,2025-10-26T00:00:21+00:00,0.095
1761523218,2025-10-27T00:00:18+00:00,0.085
1761609623,2025-10-28T00:00:23+00:00,0.06
1761696022,2025-10-29T00:00:22+00:00,0.115
1761782422,2025-10-30T00:00:22+00:00,0.295
1761868814,2025-10-31T00:00:14+00:00,0.255
1761955222,2025-11-01T00:00:22+00:00,0.325
1762041617,2025-11-02T00:00:17+00:00,0.305
1762128020,2025-11-03T00:00:20+00:00,0.295
1762214420,2025-11-04T00:00:20+00:00,0.305
1762300822,2025-11-05T00:00:22+00:00,0.275
1762387214,2025-11-06T00:00:14+00:00,0.325
1762473622,2025-11-07T00:00:22+00:00,0.235
1762560015,2025-11-08T00:00:15+00:00,0.265
1762646435,2025-11-09T00:00:35+00:00,0.265
1762732815,2025-11-10T00:00:15+00:00,0.245
1762819223,2025-11-11T00:00:23+00:00,0.285
1762905620,2025-11-12T00:00:20+00:00,0.255
1762992022,2025-11-13T00:00:22+00:00,0.33
1763078420,2025-11-14T00:00:20+00:00,0.445
1763164825,2025-11-15T00:00:25+00:00,0.51
1763251217,2025-11-16T00:00:17+00:00,0.505
1763337622,2025-11-17T00:00:22+00:00,0.515
1763424017,2025-11-18T00:00:17+00:00,0.535
1763510426,2025-11-19T00:00:26+00:00,0.46
1763596816,2025-11-20T00:00:16+00:00,0.665
1763683228,2025-11-21T00:00:28+00:00,0.645
1763769618,2025-11-22T00:00:18+00:00,0.325
1763856019,2025-11-23T00:00:19+00:00,0.315
1763942416,2025-11-24T00:00:16+00:00,0.285
1764028823,2025-11-25T00:00:23+00:00,0.175
1764115218,2025-11-26T00:00:18+00:00,0.145
1764201624,2025-11-27T00:00:24+00:00,0.145
1764288022,2025-11-28T00:00:22+00:00,0.135
1764374430,2025-11-29T00:00:30+00:00,0.115
1764460822,2025-11-30T00:00:22+00:00,0.115
1764547226,2025-12-01T00:00:26+00:00,0.105
1764633617,2025-12-02T00:00:17+00:00,0.105
1764720026,2025-12-03T00:00:26+00:00,0.075
1764806417,2025-12-04T00:00:17+00:00,0.055
1764892819,2025-12-05T00:00:19+00:00,0.075
1764979220,2025-12-06T00:00:20+00:00,0.065
1765065633,2025-12-07T00:00:33+00:00,0.075
1765152032,2025-12-08T00:00:32+00:00,0.065
1765238430,2025-12-09T00:00:30+00:00,0.055
1765324816,2025-12-10T00:00:16+00:00,0.028
