timestamp_unix,datetime_utc,increases_25_december_2025_yes
1763769607,2025-11-22T00:00:07+00:00,0.0045
1763856007,2025-11-23T00:00:07+00:00,0.0045
1763942410,2025-11-24T00:00:10+00:00,0.0045
1764028807,2025-11-25T00:00:07+00:00,0.0035
1764115208,2025-11-26T00:00:08+00:00,0.0035
1764201608,2025-11-27T00:00:08+00:00,0.0035
1764288008,2025-11-28T00:00:08+00:00,0.0035
1764374409,2025-11-29T00:00:09+00:00,0.0035
1764460808,2025-11-30T00:00:08+00:00,0.0035
1764547207,2025-12-01T00:00:07+00:00,0.0025
1764633607,2025-12-02T00:00:07+00:00,0.0025
1764720009,2025-12-03T00:00:09+00:00,0.0025
1764806408,2025-12-04T00:00:08+00:00,0.0015
1764892808,2025-12-05T00:00:08+00:00,0.0015
1764979208,2025-12-06T00:00:08+00:00,0.0015
1765065621,2025-12-07T00:00:21+00:00,0.0015
1765152021,2025-12-08T00:00:21+00:00,0.0005
1765238419,2025-12-09T00:00:19+00:00,0.0005
1765324808,2025-12-10T00:00:08+00:00,0.0005
