datetime_utc,increase_2_9_november_2025_no,increase_2_9_november_2025_yes,increase_3_0_november_2025_no,increase_3_0_november_2025_yes,increase_3_1_november_2025_no,increase_3_1_november_2025_yes,increase_2_8_november_2025_no,increase_2_8_november_2025_yes,increase_3_2_november_2025_no,increase_3_2_november_2025_yes
2025-11-27,,0.085,,,,,0.985,0.015,,0.085
2025-11-27,,,,,,0.375,,,,
2025-11-27,,,0.545,,,,,,,
2025-11-28,,,,,,,,,0.915,
2025-11-28,,,,,0.625,,,,,
2025-11-28,0.915,,,0.455,,,,,,0.085
2025-11-28,,0.085,,,,,0.9915,0.0085,,
2025-11-28,,,0.545,,,0.375,,,,
2025-11-29,,,,,,,,,0.89,
2025-11-29,,,,,0.61,,,,,
2025-11-29,0.935,,,0.45,,,,,,
2025-11-29,,,,,,,,,,0.11
2025-11-29,,,,,,,0.9965,,,
2025-11-29,,0.065,,,,,,0.0035,,
2025-11-29,,,,,,0.39,,,,
2025-11-29,,,0.55,,,,,,,
2025-11-30,,,,,,,,,0.905,
2025-11-30,,,,,0.585,,,,,
2025-11-30,0.945,,,0.445,,,,,,0.095
2025-11-30,,0.055,,,,,0.997,0.003,,
2025-11-30,,,,,,0.415,,,,
2025-11-30,,,0.555,,,,,,,
2025-12-01,,,,,,,,,0.915,
2025-12-01,,,,,0.58,,,,,
2025-12-01,0.94,,,0.45,,,,,,0.085
2025-12-01,,0.06,,,,,0.9965,0.0035,,
2025-12-01,,,,,,0.42,,,,
2025-12-01,,,0.55,,,,,,,
2025-12-02,,,,,,,,,0.915,
2025-12-02,,,,,0.6,,,,,
2025-12-02,0.94,,,0.47,,,,,,
2025-12-02,,0.06,,,,,0.9955,0.0045,,0.085
2025-12-02,,,,,,0.4,,,,
2025-12-02,,,0.53,,,,,,,
2025-12-03,,,,,,,,,0.915,
2025-12-03,,,,,0.615,,,,,
2025-12-03,0.895,,,0.425,,,,,,
2025-12-03,,0.105,,,,,0.982,,,0.085
2025-12-03,,,,,,,,0.018,,
2025-12-03,,,,,,0.385,,,,
2025-12-03,,,0.575,,,,,,,
2025-12-04,,,,,,,,,0.955,
2025-12-04,,,,,0.615,,,,,
2025-12-04,0.835,,,0.42,,,,,,0.045
2025-12-04,,0.165,,,,,0.9965,0.0035,,
2025-12-04,,,,,,0.385,,,,
2025-12-04,,,0.58,,,,,,,
2025-12-05,,,,,,,,,0.925,
2025-12-05,,,,,0.63,,,,,
2025-12-05,0.88,,,0.445,,,,,,0.075
2025-12-05,,0.12,,,,,0.994,0.006,,
2025-12-05,,,0.555,,,0.37,,,,
2025-12-06,,,,,,,,,0.94,
2025-12-06,,,,,0.715,,,,,
2025-12-06,0.845,,,0.47,,,,,,0.06
2025-12-06,,0.155,,,,,0.996,0.004,,
2025-12-06,,,,,,0.285,,,,
2025-12-06,,,0.53,,,,,,,
2025-12-07,,,,,,,,,0.93,
2025-12-07,,,,,0.675,,,,,
2025-12-07,0.855,,,0.475,,,,,,
2025-12-07,,0.145,,,,,0.971,0.029,,0.07
2025-12-07,,,,,,0.325,,,,
2025-12-07,,,0.525,,,,,,,
2025-12-08,,,,,,,,,0.935,
2025-12-08,,,,,0.655,,,,,
2025-12-08,0.855,,,0.455,,,,,,
2025-12-08,,,,,,,0.984,,,0.065
2025-12-08,,0.145,,,,,,0.016,,
2025-12-08,,,,,,0.345,,,,
2025-12-08,,,0.545,,,,,,,
2025-12-09,,,,,,,,,0.95,
2025-12-09,,,,,0.605,,,,,
2025-12-09,0.885,0.115,,0.455,,,0.9845,0.0155,,0.05
2025-12-09,,,,,,0.395,,,,
2025-12-09,,,0.545,,,,,,,
2025-12-10,,,,,,,,,0.9555,
2025-12-10,0.875,,,,0.6,,,,,
2025-12-10,,0.125,,0.435,,,0.973,0.027,,0.0445
2025-12-10,,,0.565,,,0.4,,,,
2025-12-11,,,,,,,,,0.9655,
2025-12-11,,,,,0.635,,,,,
2025-12-11,0.85,0.15,,0.44,,,0.966,,,0.0345
2025-12-11,,,,,,,,0.034,,
2025-12-11,,,0.56,,,0.365,,,,
2025-12-12,,,,,,,,,0.9695,
2025-12-12,,,,,0.64,,,,,
2025-12-12,0.865,,,0.455,,,0.983,,,0.0305
2025-12-12,,0.135,,,,,,0.017,,
2025-12-12,,,0.545,,,0.36,,,,
2025-12-13,,,,,,,,,0.969,
2025-12-13,,,,,0.625,,,,,
2025-12-13,0.84,,,0.43,,,,,,
2025-12-13,,0.16,,,,,0.9735,0.0265,,0.031
2025-12-13,,,0.57,,,0.375,,,,
2025-12-14,,,,,,,,,0.9465,
2025-12-14,,,,,0.6,,,,,
2025-12-14,0.87,,,0.425,,,,,,
2025-12-14,,0.13,,,,,0.996,0.004,,0.0535
2025-12-14,,,,,,0.4,,,,
2025-12-14,,,0.575,,,,,,,
2025-12-15,,,,,,,,,0.933,
2025-12-15,,,,,0.6,,,,,
2025-12-15,0.865,,,0.41,,,0.9965,,,0.067
2025-12-15,,0.135,,,,,,0.0035,,
2025-12-15,,,,,,0.4,,,,
2025-12-15,,,0.59,,,,,,,
2025-12-16,,,,,,,,,0.9595,
2025-12-16,,,,,0.595,,,,,
2025-12-16,0.855,,,0.415,,,,,,
2025-12-16,,,,,,,,,,0.0405
2025-12-16,,0.145,,,,,0.975,0.025,,
2025-12-16,,,0.585,,,0.405,,,,
2025-12-17,,,,,,,,,0.9715,
2025-12-17,,,,,0.63,,,,,
2025-12-17,0.765,,,0.37,,,0.9785,,,0.0285
2025-12-17,,0.235,,,,,,0.0215,,
2025-12-17,,,,,,0.37,,,,
2025-12-17,,,0.63,,,,,,,
2025-12-17,,,,,,,,,0.9715,
2025-12-17,,,,,0.63,,,,,
2025-12-17,0.765,,,0.37,,,0.9785,,,0.0285
2025-12-17,,0.235,,,,,,0.0215,,
2025-12-17,,,0.63,,,0.37,,,,
2025-12-18,,,,,,,,,0.961,
2025-12-18,,,,,0.655,,,,,
2025-12-18,0.815,0.185,,0.425,,,0.9965,0.0035,,0.039
2025-12-18,,,,,,0.345,,,,
2025-12-18,,,0.575,,,,,,,
