timestamp_unix,datetime_utc,increases_25_january_2026_yes
1764806408,2025-12-04T00:00:08+00:00,0.0125
1764892808,2025-12-05T00:00:08+00:00,0.0115
1764979209,2025-12-06T00:00:09+00:00,0.0115
1765065621,2025-12-07T00:00:21+00:00,0.0115
1765152021,2025-12-08T00:00:21+00:00,0.0115
1765238419,2025-12-09T00:00:19+00:00,0.0105
1765324808,2025-12-10T00:00:08+00:00,0.0125
1765411208,2025-12-11T00:00:08+00:00,0.0105
1765497608,2025-12-12T00:00:08+00:00,0.0105
1765584009,2025-12-13T00:00:09+00:00,0.0095
1765670409,2025-12-14T00:00:09+00:00,0.0105
1765756809,2025-12-15T00:00:09+00:00,0.0135
1765843207,2025-12-16T00:00:07+00:00,0.0135
1765929604,2025-12-17T00:00:04+00:00,0.0125
1765929630,2025-12-17T00:00:30+00:00,0.0125
1766016018,2025-12-18T00:00:18+00:00,0.0125
1766102409,2025-12-19T00:00:09+00:00,0.0075
1766188808,2025-12-20T00:00:08+00:00,0.0075
1766275208,2025-12-21T00:00:08+00:00,0.0075
1766361608,2025-12-22T00:00:08+00:00,0.0075
1766448009,2025-12-23T00:00:09+00:00,0.0065
1766534409,2025-12-24T00:00:09+00:00,0.0065
1766620819,2025-12-25T00:00:19+00:00,0.0035
1766707208,2025-12-26T00:00:08+00:00,0.0035
1766793610,2025-12-27T00:00:10+00:00,0.0035
1766880010,2025-12-28T00:00:10+00:00,0.0035
1766966426,2025-12-29T00:00:26+00:00,0.0035
1767052813,2025-12-30T00:00:13+00:00,0.0025
1767139209,2025-12-31T00:00:09+00:00,0.0025
1767225609,2026-01-01T00:00:09+00:00,0.0025
1767312009,2026-01-02T00:00:09+00:00,0.0035
1767398410,2026-01-03T00:00:10+00:00,0.0035
1767484810,2026-01-04T00:00:10+00:00,0.0035
1767571211,2026-01-05T00:00:11+00:00,0.0035
1767657613,2026-01-06T00:00:13+00:00,0.0035
1767744010,2026-01-07T00:00:10+00:00,0.0035
1767830426,2026-01-08T00:00:26+00:00,0.0035
1767916810,2026-01-09T00:00:10+00:00,0.0035
1768003211,2026-01-10T00:00:11+00:00,0.0025
1768089611,2026-01-11T00:00:11+00:00,0.0005
1768176012,2026-01-12T00:00:12+00:00,0.0005
1768262412,2026-01-13T00:00:12+00:00,0.0005
1768348811,2026-01-14T00:00:11+00:00,0.0005
1768435213,2026-01-15T00:00:13+00:00,0.0005
1768521615,2026-01-16T00:00:15+00:00,0.0015
1768608012,2026-01-17T00:00:12+00:00,0.0015
1768694414,2026-01-18T00:00:14+00:00,0.0015
1768780811,2026-01-19T00:00:11+00:00,0.0015
1768867212,2026-01-20T00:00:12+00:00,0.0005
1768953613,2026-01-21T00:00:13+00:00,0.0005
1769040015,2026-01-22T00:00:15+00:00,0.0005
1769126428,2026-01-23T00:00:28+00:00,0.0005
1769212817,2026-01-24T00:00:17+00:00,0.0005
1769299229,2026-01-25T00:00:29+00:00,0.0005
1769385626,2026-01-26T00:00:26+00:00,0.0005
1769472024,2026-01-27T00:00:24+00:00,0.0015
1769558415,2026-01-28T00:00:15+00:00,0.0015
