timestamp_unix,datetime_utc,no_change_october_2025_yes
1759276805,2025-10-01T00:00:05+00:00,0.105
1759363207,2025-10-02T00:00:07+00:00,0.055
1759449611,2025-10-03T00:00:11+00:00,0.065
1759536010,2025-10-04T00:00:10+00:00,0.065
1759622407,2025-10-05T00:00:07+00:00,0.065
1759708805,2025-10-06T00:00:05+00:00,0.075
1759795209,2025-10-07T00:00:09+00:00,0.075
1759881614,2025-10-08T00:00:14+00:00,0.085
1759968007,2025-10-09T00:00:07+00:00,0.085
1760054408,2025-10-10T00:00:08+00:00,0.075
1760140804,2025-10-11T00:00:04+00:00,0.065
1760227206,2025-10-12T00:00:06+00:00,0.055
1760313616,2025-10-13T00:00:16+00:00,0.055
1760400003,2025-10-14T00:00:03+00:00,0.055
1760486413,2025-10-15T00:00:13+00:00,0.045
1760572817,2025-10-16T00:00:17+00:00,0.0315
1760659208,2025-10-17T00:00:08+00:00,0.0275
1760745618,2025-10-18T00:00:18+00:00,0.0245
1760832015,2025-10-19T00:00:15+00:00,0.0265
1760918421,2025-10-20T00:00:21+00:00,0.026
1761004812,2025-10-21T00:00:12+00:00,0.0235
1761091223,2025-10-22T00:00:23+00:00,0.0225
1761177612,2025-10-23T00:00:12+00:00,0.0235
1761264019,2025-10-24T00:00:19+00:00,0.0225
1761350417,2025-10-25T00:00:17+00:00,0.0145
1761436821,2025-10-26T00:00:21+00:00,0.01
1761523218,2025-10-27T00:00:18+00:00,0.0085
1761609622,2025-10-28T00:00:22+00:00,0.0115
1761696022,2025-10-29T00:00:22+00:00,0.0115
