timestamp_unix,datetime_utc,increases_25_april_2026_yes
1773273621,2026-03-12T00:00:21+00:00,0.017
1773360038,2026-03-13T00:00:38+00:00,0.0175
1773446423,2026-03-14T00:00:23+00:00,0.019
1773532823,2026-03-15T00:00:23+00:00,0.0195
1773619239,2026-03-16T00:00:39+00:00,0.0165
1773705626,2026-03-17T00:00:26+00:00,0.0165
1773792025,2026-03-18T00:00:25+00:00,0.0135
1773878425,2026-03-19T00:00:25+00:00,0.0115
1773964832,2026-03-20T00:00:32+00:00,0.02
1774051228,2026-03-21T00:00:28+00:00,0.035
1774137627,2026-03-22T00:00:27+00:00,0.0355
1774224022,2026-03-23T00:00:22+00:00,0.0415
1774310420,2026-03-24T00:00:20+00:00,0.035
1774396838,2026-03-25T00:00:38+00:00,0.034
1774483242,2026-03-26T00:00:42+00:00,0.03
1774569637,2026-03-27T00:00:37+00:00,0.0255
1774656039,2026-03-28T00:00:39+00:00,0.0205
1774742443,2026-03-29T00:00:43+00:00,0.0175
1774828855,2026-03-30T00:00:55+00:00,0.0185
1774915251,2026-03-31T00:00:51+00:00,0.0115
1775001657,2026-04-01T00:00:57+00:00,0.0105
1775088052,2026-04-02T00:00:52+00:00,0.0065
1775520058,2026-04-07T00:00:58+00:00,0.0105
1775692818,2026-04-09T00:00:18+00:00,0.009
1776556851,2026-04-19T00:00:51+00:00,0.0025
1776643256,2026-04-20T00:00:56+00:00,0.0025
1776729657,2026-04-21T00:00:57+00:00,0.0025
1776816005,2026-04-22T00:00:05+00:00,0.0025
1776902405,2026-04-23T00:00:05+00:00,0.0025
1776988818,2026-04-24T00:00:18+00:00,0.0025
1777075210,2026-04-25T00:00:10+00:00,0.0025
1777161604,2026-04-26T00:00:04+00:00,0.0015
1777248004,2026-04-27T00:00:04+00:00,0.0005
1777334404,2026-04-28T00:00:04+00:00,0.0005
1777420803,2026-04-29T00:00:03+00:00,0.0015
