timestamp_unix,datetime_utc,no_change_april_2026_yes
1771027254,2026-02-14T00:00:54+00:00,0.765
1771113655,2026-02-15T00:00:55+00:00,0.745
1771286458,2026-02-17T00:00:58+00:00,0.745
1771545659,2026-02-20T00:00:59+00:00,0.75
1771632039,2026-02-21T00:00:39+00:00,0.795
1771718440,2026-02-22T00:00:40+00:00,0.805
1771804847,2026-02-23T00:00:47+00:00,0.82
1771891248,2026-02-24T00:00:48+00:00,0.845
1771977655,2026-02-25T00:00:55+00:00,0.845
1772064049,2026-02-26T00:00:49+00:00,0.865
1772150455,2026-02-27T00:00:55+00:00,0.885
1772236851,2026-02-28T00:00:51+00:00,0.87
1772496059,2026-03-03T00:00:59+00:00,0.845
1772582458,2026-03-04T00:00:58+00:00,0.855
1772668856,2026-03-05T00:00:56+00:00,0.885
1772755254,2026-03-06T00:00:54+00:00,0.875
1772841659,2026-03-07T00:00:59+00:00,0.865
1772928047,2026-03-08T00:00:47+00:00,0.875
1773014444,2026-03-09T00:00:44+00:00,0.82
1773100853,2026-03-10T00:00:53+00:00,0.855
1773187257,2026-03-11T00:00:57+00:00,0.875
1773273659,2026-03-12T00:00:59+00:00,0.885
1773446447,2026-03-14T00:00:47+00:00,0.915
1773532850,2026-03-15T00:00:50+00:00,0.915
1773705639,2026-03-17T00:00:39+00:00,0.935
1773792040,2026-03-18T00:00:40+00:00,0.945
1773878453,2026-03-19T00:00:53+00:00,0.945
1773964844,2026-03-20T00:00:44+00:00,0.955
1774051243,2026-03-21T00:00:43+00:00,0.9455
1774137640,2026-03-22T00:00:40+00:00,0.948
1774224034,2026-03-23T00:00:34+00:00,0.9425
1774310431,2026-03-24T00:00:31+00:00,0.9485
1774396844,2026-03-25T00:00:44+00:00,0.9485
1774483248,2026-03-26T00:00:48+00:00,0.9545
1774569654,2026-03-27T00:00:54+00:00,0.9595
1774656058,2026-03-28T00:00:58+00:00,0.966
1775347219,2026-04-05T00:00:19+00:00,0.9835
1775692838,2026-04-09T00:00:38+00:00,0.9805
1775952016,2026-04-12T00:00:16+00:00,0.9835
1776816009,2026-04-22T00:00:09+00:00,0.9935
1776902413,2026-04-23T00:00:13+00:00,0.9935
1776988823,2026-04-24T00:00:23+00:00,0.9945
1777075213,2026-04-25T00:00:13+00:00,0.9945
1777161607,2026-04-26T00:00:07+00:00,0.9965
1777248008,2026-04-27T00:00:08+00:00,0.9985
1777334409,2026-04-28T00:00:09+00:00,0.9985
1777420807,2026-04-29T00:00:07+00:00,0.9975
