timestamp_unix,datetime_utc,increases_25_april_2026_no
1767312016,2026-01-02T00:00:16+00:00,0.978
1767398415,2026-01-03T00:00:15+00:00,0.978
1767484817,2026-01-04T00:00:17+00:00,0.9815
1767571219,2026-01-05T00:00:19+00:00,0.9825
1767657621,2026-01-06T00:00:21+00:00,0.9875
1767744019,2026-01-07T00:00:19+00:00,0.985
1767830434,2026-01-08T00:00:34+00:00,0.9845
1767916819,2026-01-09T00:00:19+00:00,0.9825
1768003219,2026-01-10T00:00:19+00:00,0.982
1768089617,2026-01-11T00:00:17+00:00,0.981
1768176019,2026-01-12T00:00:19+00:00,0.9885
1768262420,2026-01-13T00:00:20+00:00,0.987
1768348821,2026-01-14T00:00:21+00:00,0.9895
1768435222,2026-01-15T00:00:22+00:00,0.986
1768521625,2026-01-16T00:00:25+00:00,0.9835
1768608022,2026-01-17T00:00:22+00:00,0.9825
1768694433,2026-01-18T00:00:33+00:00,0.985
1768780819,2026-01-19T00:00:19+00:00,0.985
1768867220,2026-01-20T00:00:20+00:00,0.9865
1768953622,2026-01-21T00:00:22+00:00,0.982
1769040030,2026-01-22T00:00:30+00:00,0.984
1769126438,2026-01-23T00:00:38+00:00,0.9865
1769212833,2026-01-24T00:00:33+00:00,0.986
1769299241,2026-01-25T00:00:41+00:00,0.9885
1769385640,2026-01-26T00:00:40+00:00,0.9865
1769472034,2026-01-27T00:00:34+00:00,0.975
1769558424,2026-01-28T00:00:24+00:00,0.9675
1769644839,2026-01-29T00:00:39+00:00,0.9815
1769731227,2026-01-30T00:00:27+00:00,0.982
1769817628,2026-01-31T00:00:28+00:00,0.988
1769904033,2026-02-01T00:00:33+00:00,0.984
1769990426,2026-02-02T00:00:26+00:00,0.9755
1770076829,2026-02-03T00:00:29+00:00,0.978
1770163240,2026-02-04T00:00:40+00:00,0.9835
1770249626,2026-02-05T00:00:26+00:00,0.9835
1770336033,2026-02-06T00:00:33+00:00,0.9825
1770422439,2026-02-07T00:00:39+00:00,0.983
1770508835,2026-02-08T00:00:35+00:00,0.9835
1770595234,2026-02-09T00:00:34+00:00,0.983
1770681637,2026-02-10T00:00:37+00:00,0.9825
1770768038,2026-02-11T00:00:38+00:00,0.9835
1770854447,2026-02-12T00:00:47+00:00,0.985
1770940836,2026-02-13T00:00:36+00:00,0.9835
1771027240,2026-02-14T00:00:40+00:00,0.9885
1771113639,2026-02-15T00:00:39+00:00,0.9885
1771200050,2026-02-16T00:00:50+00:00,0.9875
1771286440,2026-02-17T00:00:40+00:00,0.9875
1771372846,2026-02-18T00:00:46+00:00,0.9885
1771459246,2026-02-19T00:00:46+00:00,0.9885
1771545644,2026-02-20T00:00:44+00:00,0.9885
1771632030,2026-02-21T00:00:30+00:00,0.9885
1771718430,2026-02-22T00:00:30+00:00,0.9885
1771804835,2026-02-23T00:00:35+00:00,0.9885
1771891235,2026-02-24T00:00:35+00:00,0.9885
1771977640,2026-02-25T00:00:40+00:00,0.9885
1772064036,2026-02-26T00:00:36+00:00,0.9885
1772150441,2026-02-27T00:00:41+00:00,0.988
1772236841,2026-02-28T00:00:41+00:00,0.9885
1772323254,2026-03-01T00:00:54+00:00,0.9885
1772409652,2026-03-02T00:00:52+00:00,0.9885
1772496044,2026-03-03T00:00:44+00:00,0.9875
1772582446,2026-03-04T00:00:46+00:00,0.984
1772668843,2026-03-05T00:00:43+00:00,0.9835
1772755242,2026-03-06T00:00:42+00:00,0.965
1772841646,2026-03-07T00:00:46+00:00,0.9855
1772928038,2026-03-08T00:00:38+00:00,0.9835
1773014433,2026-03-09T00:00:33+00:00,0.9755
1773100841,2026-03-10T00:00:41+00:00,0.979
1773187244,2026-03-11T00:00:44+00:00,0.9835
1773273645,2026-03-12T00:00:45+00:00,0.983
1773446438,2026-03-14T00:00:38+00:00,0.981
1773532839,2026-03-15T00:00:39+00:00,0.9805
1773619251,2026-03-16T00:00:51+00:00,0.9835
1773705634,2026-03-17T00:00:34+00:00,0.9835
1773792035,2026-03-18T00:00:35+00:00,0.9865
1773878443,2026-03-19T00:00:43+00:00,0.9885
1773964840,2026-03-20T00:00:40+00:00,0.98
1774051237,2026-03-21T00:00:37+00:00,0.9665
1774137635,2026-03-22T00:00:35+00:00,0.9645
1774224029,2026-03-23T00:00:29+00:00,0.9585
1774310426,2026-03-24T00:00:26+00:00,0.965
1774396842,2026-03-25T00:00:42+00:00,0.966
1774483245,2026-03-26T00:00:45+00:00,0.97
1774569652,2026-03-27T00:00:52+00:00,0.9745
1774656056,2026-03-28T00:00:56+00:00,0.9795
1775347216,2026-04-05T00:00:16+00:00,0.9935
1775692836,2026-04-09T00:00:36+00:00,0.991
1775952012,2026-04-12T00:00:12+00:00,0.9935
1776470430,2026-04-18T00:00:30+00:00,0.9965
1776816017,2026-04-22T00:00:17+00:00,0.9975
1776902422,2026-04-23T00:00:22+00:00,0.9975
1776988834,2026-04-24T00:00:34+00:00,0.9975
1777075216,2026-04-25T00:00:16+00:00,0.9975
1777161610,2026-04-26T00:00:10+00:00,0.9985
1777248013,2026-04-27T00:00:13+00:00,0.9995
1777334414,2026-04-28T00:00:14+00:00,0.9995
1777420811,2026-04-29T00:00:11+00:00,0.9985
