datetime_utc,us_recession_2025_no,us_recession_2025_yes
2025-03-18,0.6,0.4
2025-03-19,0.6,0.4
2025-03-20,0.665,0.335
2025-03-21,0.655,0.345
2025-03-22,0.66,0.34
2025-03-23,0.65,0.35
2025-03-24,0.645,0.355
2025-03-25,0.655,0.345
2025-03-26,0.665,0.335
2025-03-27,0.64,0.36
2025-03-28,0.625,0.375
2025-03-29,0.63,0.37
2025-03-30,0.625,0.375
2025-03-31,0.625,0.375
2025-04-01,0.615,0.385
2025-04-02,0.585,0.415
2025-04-03,0.51,0.49
2025-04-04,0.48,0.52
2025-04-05,0.405,0.595
2025-04-06,0.38,0.62
2025-04-07,0.345,0.655
2025-04-08,0.385,0.615
2025-04-09,0.385,0.615
2025-04-10,0.51,0.49
2025-04-11,0.38,0.62
2025-04-12,0.39,0.61
2025-04-13,0.56,0.44
2025-04-14,0.515,0.485
2025-04-15,0.49,0.51
2025-04-16,0.465,0.535
2025-04-17,0.455,0.545
2025-04-18,0.435,0.565
2025-04-19,0.435,0.565
2025-04-20,0.425,0.575
2025-04-21,0.44,0.56
2025-04-22,0.425,0.575
2025-04-23,0.465,0.535
2025-04-24,0.48,0.52
2025-04-25,0.465,0.535
2025-04-26,0.445,0.555
2025-04-27,0.46,0.54
2025-04-28,0.455,0.545
2025-04-29,0.425,0.575
2025-04-30,0.355,0.645
2025-05-01,0.365,0.635
2025-05-02,0.345,0.655
2025-05-03,0.375,0.625
2025-05-04,0.42,0.58
2025-05-05,0.425,0.575
2025-05-06,0.425,0.575
2025-05-07,0.47,0.53
2025-05-08,0.495,0.505
2025-05-09,0.485,0.515
2025-05-10,0.495,0.505
2025-05-11,0.485,0.515
2025-05-12,0.505,0.495
2025-05-13,0.605,0.395
2025-05-14,0.605,0.395
2025-05-15,0.605,0.395
2025-05-16,0.635,0.365
2025-05-17,0.635,0.365
2025-05-18,0.63,0.37
2025-05-19,0.63,0.37
2025-05-20,0.625,0.375
2025-05-21,0.605,0.395
2025-05-22,0.61,0.39
2025-05-23,0.605,0.395
2025-05-24,0.595,0.405
2025-05-25,0.615,0.385
2025-05-26,0.615,0.385
2025-05-27,0.615,0.385
2025-05-28,0.625,0.375
2025-05-29,0.615,0.385
2025-05-30,0.63,0.37
2025-05-31,0.67,0.33
2025-06-01,0.665,0.335
2025-06-02,0.675,0.325
2025-06-03,0.705,0.295
2025-06-04,0.715,0.285
2025-06-05,0.725,0.275
2025-06-06,0.705,0.295
2025-06-07,0.735,0.265
2025-06-08,0.735,0.265
2025-06-09,0.74,0.26
2025-06-10,0.745,0.255
2025-06-11,0.755,0.245
2025-06-12,0.775,0.225
2025-06-13,0.765,0.235
2025-06-14,0.735,0.265
2025-06-15,0.725,0.275
2025-06-16,0.695,0.305
2025-06-17,0.755,0.245
2025-06-18,0.715,0.285
2025-06-19,0.725,0.275
2025-06-20,0.725,0.275
2025-06-21,0.715,0.285
2025-06-22,0.715,0.285
2025-06-23,0.685,0.315
2025-06-24,0.73,0.27
2025-06-25,0.74,0.26
2025-06-26,0.735,0.265
2025-06-27,0.705,0.295
2025-06-28,0.7,0.3
2025-06-29,0.735,0.265
2025-06-30,0.735,0.265
2025-07-01,0.735,0.265
2025-07-02,0.76,0.24
2025-07-03,0.74,0.26
2025-07-04,0.785,0.215
2025-07-05,0.785,0.215
2025-07-06,0.775,0.225
2025-07-07,0.785,0.215
2025-07-08,0.775,0.225
2025-07-09,0.805,0.195
2025-07-10,0.805,0.195
2025-07-11,0.815,0.185
2025-07-12,0.805,0.195
2025-07-13,0.805,0.195
2025-07-14,0.8,0.2
2025-07-15,0.795,0.205
2025-07-16,0.785,0.215
2025-07-17,0.795,0.205
2025-07-18,0.805,0.195
2025-07-19,0.825,0.175
2025-07-20,0.825,0.175
2025-07-21,0.825,0.175
2025-07-22,0.825,0.175
2025-07-23,0.805,0.195
2025-07-24,0.815,0.185
2025-07-25,0.825,0.175
2025-07-26,0.825,0.175
2025-07-27,0.835,0.165
2025-07-28,0.83,0.17
2025-07-29,0.835,0.165
2025-07-30,0.835,0.165
2025-07-31,0.875,0.125
2025-08-01,0.885,0.115
2025-08-02,0.835,0.165
2025-08-03,0.855,0.145
2025-08-04,0.85,0.15
2025-08-05,0.855,0.145
2025-08-06,0.855,0.145
2025-08-07,,0.145
2025-08-07,0.855,
2025-08-08,,0.135
2025-08-08,0.865,
2025-08-09,,0.125
2025-08-09,0.875,
2025-08-10,,0.125
2025-08-10,0.875,
2025-08-11,0.875,
2025-08-11,,0.125
2025-08-12,0.88,
2025-08-12,,0.12
2025-08-13,,0.12
2025-08-13,0.88,
2025-08-14,0.885,
2025-08-14,,0.115
2025-08-15,,0.115
2025-08-15,0.885,
2025-08-16,,0.125
2025-08-16,0.875,
2025-08-17,0.875,
2025-08-17,,0.125
2025-08-18,0.865,0.135
2025-08-19,0.87,
2025-08-19,,0.13
2025-08-20,0.875,
2025-08-20,,0.125
2025-08-21,0.875,
2025-08-21,,0.125
2025-08-22,,0.11
2025-08-22,0.89,
2025-08-23,,0.1
2025-08-23,0.9,
2025-08-24,,0.11
2025-08-24,0.89,
2025-08-25,0.885,0.115
2025-08-26,0.89,
2025-08-26,,0.11
2025-08-27,,0.105
2025-08-27,0.895,
2025-08-28,0.9,0.1
2025-08-29,,0.105
2025-08-29,0.895,
2025-08-30,0.895,
2025-08-30,,0.105
2025-08-31,0.91,0.09
2025-09-01,,0.08
2025-09-01,0.92,
2025-09-02,,0.08
2025-09-02,0.92,
2025-09-03,,0.085
2025-09-03,0.915,
2025-09-04,0.915,
2025-09-04,,0.085
2025-09-05,,0.075
2025-09-05,0.925,
2025-09-06,,0.075
2025-09-06,0.925,
2025-09-07,0.915,
2025-09-07,,0.085
2025-09-08,0.92,
2025-09-08,,0.08
2025-09-09,,0.09
2025-09-09,0.91,
2025-09-10,0.91,0.09
2025-09-11,,0.085
2025-09-11,0.915,
2025-09-12,,0.125
2025-09-12,0.875,
2025-09-13,,0.105
2025-09-13,0.895,
2025-09-14,,0.095
2025-09-14,0.905,
2025-09-15,0.905,0.095
2025-09-16,,0.095
2025-09-16,0.905,
2025-09-17,,0.08
2025-09-17,0.92,
2025-09-18,,0.055
2025-09-18,0.945,
2025-09-19,0.935,
2025-09-19,,0.065
2025-09-20,0.93,
2025-09-20,,0.07
2025-09-21,,0.055
2025-09-21,0.945,
2025-09-22,,0.06
2025-09-22,0.94,
2025-09-23,,0.06
2025-09-23,0.94,
2025-09-24,0.945,
2025-09-24,,0.055
2025-09-25,,0.065
2025-09-25,0.935,
2025-09-26,,0.065
2025-09-26,0.935,
2025-09-27,,0.065
2025-09-27,0.935,
2025-09-28,0.935,
2025-09-28,,0.065
2025-09-29,0.935,
2025-09-29,,0.065
2025-09-30,,0.065
2025-09-30,0.935,
2025-10-01,0.935,
2025-10-01,,0.065
2025-10-02,,0.055
2025-10-02,0.945,
2025-10-03,,0.06
2025-10-03,0.94,
2025-10-04,,0.06
2025-10-04,0.94,
2025-10-05,,0.055
2025-10-05,0.945,
2025-10-06,0.945,0.055
2025-10-07,,0.06
2025-10-07,0.94,
2025-10-08,0.945,0.055
2025-10-09,0.94,
2025-10-09,,0.06
2025-10-10,,0.06
2025-10-10,0.94,
2025-10-11,,0.065
2025-10-11,0.935,
2025-10-12,,0.065
2025-10-12,0.935,
2025-10-13,,0.055
2025-10-13,0.945,
2025-10-14,0.945,
2025-10-14,,0.055
2025-10-15,0.945,
2025-10-15,,0.055
2025-10-16,0.945,
2025-10-16,,0.055
2025-10-17,,0.06
2025-10-17,0.94,
2025-10-18,,0.055
2025-10-18,0.945,
2025-10-19,,0.055
2025-10-19,0.945,
2025-10-20,0.945,
2025-10-20,,0.055
2025-10-21,,0.055
2025-10-21,0.945,
2025-10-22,,0.05
2025-10-22,0.95,
2025-10-23,0.94,0.06
2025-10-24,0.945,0.055
2025-10-25,,0.05
2025-10-25,0.95,
2025-10-26,,0.045
2025-10-26,0.955,
2025-10-27,,0.045
2025-10-27,0.955,
2025-10-28,,0.045
2025-10-28,0.955,
2025-10-29,,0.045
2025-10-29,0.955,
2025-10-30,,0.045
2025-10-30,0.955,
2025-10-31,0.96,0.04
2025-11-01,,0.036
2025-11-01,0.964,
2025-11-02,,0.037
2025-11-02,0.963,
2025-11-03,,0.036
2025-11-03,0.964,
2025-11-04,,0.0325
2025-11-04,0.9675,
2025-11-05,,0.0445
2025-11-05,0.9555,
2025-11-06,0.954,0.046
2025-11-07,,0.0395
2025-11-07,0.9605,
2025-11-08,,0.046
2025-11-08,0.954,
2025-11-09,,0.0405
2025-11-09,0.9595,
2025-11-10,0.9645,0.0355
2025-11-11,,0.0425
2025-11-11,0.9575,
2025-11-12,,0.036
2025-11-12,0.964,
2025-11-13,,0.039
2025-11-13,0.961,
2025-11-14,,0.0435
2025-11-14,0.9565,
2025-11-15,,0.0395
2025-11-15,0.9605,
2025-11-16,0.96,0.04
2025-11-17,0.9605,0.0395
2025-11-18,0.9585,0.0415
2025-11-19,,0.0405
2025-11-19,0.9595,
2025-11-20,0.9585,0.0415
2025-11-21,,0.0385
2025-11-21,0.9615,
2025-11-22,0.959,0.041
2025-11-23,0.9585,0.0415
2025-11-24,0.9615,0.0385
2025-11-25,,0.032
2025-11-25,0.968,
2025-11-26,,0.03
2025-11-26,0.97,
2025-11-27,0.965,0.035
2025-11-28,0.9775,0.0225
2025-11-29,0.9765,0.0235
2025-11-30,0.9795,0.0205
2025-12-01,,0.023
2025-12-01,0.977,
2025-12-02,,0.0155
2025-12-02,0.9845,
2025-12-03,,0.022
2025-12-03,0.978,
2025-12-04,,0.015
2025-12-04,0.985,
2025-12-05,0.9805,0.0195
2025-12-06,0.982,0.018
2025-12-07,,0.022
2025-12-07,0.978,
2025-12-08,,0.0145
2025-12-08,0.9855,
2025-12-09,,0.0185
2025-12-09,0.9815,
2025-12-10,0.9815,0.0185
2025-12-11,0.985,0.015
2025-12-12,,0.0105
2025-12-12,0.9895,
2025-12-13,,0.0095
2025-12-13,0.9905,
2025-12-14,,0.0105
2025-12-14,0.9895,
2025-12-15,0.989,0.011
2025-12-16,,0.0065
2025-12-16,0.9935,
2025-12-17,,0.007
2025-12-17,0.993,
2025-12-17,,0.007
2025-12-17,0.993,
2025-12-18,0.9915,0.0085
2025-12-19,0.9915,0.0085
2025-12-20,0.9895,0.0105
2025-12-21,,0.0055
2025-12-21,0.9945,
2025-12-22,,0.0035
2025-12-22,0.9965,
2025-12-23,,0.0065
2025-12-23,0.9935,
2025-12-24,,0.0055
2025-12-24,0.9945,
2025-12-25,0.9935,0.0065
2025-12-26,0.994,0.006
2025-12-27,0.996,0.004
2025-12-28,,0.0035
2025-12-28,0.9965,
2025-12-29,,0.003
2025-12-29,0.997,
2025-12-30,,0.0025
2025-12-30,0.9975,
2025-12-31,,0.0025
2025-12-31,0.9975,
2026-01-01,,0.0015
2026-01-01,0.9985,
